ID,ID_POSTE,ESPECIE,LATITUDE,LONGITUDE,ALTURA(m),Image_Path
AR1955,29196348,SANSAO DO CAMPO,-10.992595,-37.2638,7,data/imagem/AR1955_1955.jpg
AR2064,29327178,SANSAO DO CAMPO,-11.050887,-37.15087,7,data/imagem/AR2064_2064.jpg
AR2069,29532910,SANSAO DO CAMPO,-11.018016,-37.195664,6,data/imagem/AR2069_2069.jpg
AR2158,29326237,SANSAO DO CAMPO,-11.024204,-37.158492,7,data/imagem/AR2158_2158.jpg
AR482,29291246,SANSAO DO CAMPO,-11.05696,-37.112292,6,data/imagem/AR482_482.jpg
AR637,29445344,SANSAO DO CAMPO,-11.024509,-37.087115,7,data/imagem/AR637_637.jpg
AR682,29445344,SANSAO DO CAMPO,-11.024467,-37.087143,4,data/imagem/AR682_682.jpg
AR783,241911645,SANSAO DO CAMPO,-11.087597,-37.143679,5,data/imagem/AR783_783.jpg
AR971,29389789,SANSAO DO CAMPO,-10.908543,-37.127702,12,data/imagem/AR971_971.jpg
AR4515,29229912,SERIGUELA,-11.138478,-37.495557,"7,5",data/imagem/AR4515_4515.jpg
AR4634,29508799,SERIGUELA,-11.054308,-37.522371,10,data/imagem/AR4634_4634.jpg
AR4955,29446303,SERIGUELA,-11.09712,-37.496964,4,data/imagem/AR4955_4955.jpg
AR040,29398211,EMBAUBA,-11.067284,-37.129854,7,data/imagem/AR040_40.jpg
AR1035,29453557,EMBAUBA,-10.841921,-37.138729,11,data/imagem/AR1035_1035.jpg
AR1038,29305739,EMBAUBA,-10.841998,-37.139181,11,data/imagem/AR1038_1038.jpg
AR1041,29454044,EMBAUBA,-10.841924,-37.139693,13,data/imagem/AR1041_1041.jpg
AR134,29255332,EMBAUBA,-11.085906,-37.145775,10,data/imagem/AR134_134.jpg
AR174,72418329,EMBAUBA,-11.075715,-37.14321,"7,5",data/imagem/AR174_174.jpg
AR196,46035987,EMBAUBA,-11.074967,-37.1352,"9,5",data/imagem/AR196_196.jpg
